test,comparison,layer,unit,heldout_target,observed_mean,p_two_sided,n_units,n_pairs,n_targets,n_permutations,permutation_mode,seed,target_means,leave_one_target_means,loto_min,loto_max,loto_negative_count,loto_n
case_sign_flip,l8_sae_minus_raw,8,pair,,-0.02399061188933947,0.8528147185281472,52,52,13,10000,monte_carlo,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
target_sign_flip,l8_sae_minus_raw,8,target,,-0.02399061188933947,0.85595703125,13,52,13,8192,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,bank,0.0355653701950867,0.7607421875,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,bark,0.007578640918334369,0.94580078125,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,bat,-0.0726706329235701,0.5751953125,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,club,0.012553488057506066,0.91552734375,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,crane,-0.03939305791090783,0.77880859375,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,date,-0.07238339001685727,0.5771484375,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,jam,-0.01371905008390136,0.9287109375,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,match,-0.03566401018731046,0.802734375,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,mole,-0.074689172148892,0.56298828125,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,pitcher,0.032151450788573975,0.78564453125,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,seal,-0.03761834106859006,0.78857421875,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,spring,-0.03384839252508925,0.810546875,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
leave_one_target_out,l8_sae_minus_raw,8,target,watch,-0.019740857655795852,0.8876953125,12,48,12,4096,exact,42,"{""bank"":-0.7386623969024534,""bark"":-0.4028216455814254,""bat"":0.560169640521428,""club"":-0.4625198112514858,""crane"":0.16083874036948087,""date"":0.5567227256408743,""jam"":-0.14724935355459678,""match"":0.11609016768631242,""mole"":0.5843921112252909,""pitcher"":-0.6976953640243008,""seal"":0.13954213826166761,""spring"":0.09430275573965785,""watch"":-0.07498766269186286}","{""bank"":0.0355653701950867,""bark"":0.007578640918334369,""bat"":-0.0726706329235701,""club"":0.012553488057506066,""crane"":-0.03939305791090783,""date"":-0.07238339001685727,""jam"":-0.01371905008390136,""match"":-0.03566401018731046,""mole"":-0.074689172148892,""pitcher"":0.032151450788573975,""seal"":-0.03761834106859006,""spring"":-0.03384839252508925,""watch"":-0.019740857655795852}",-0.074689172148892,0.0355653701950867,9,13
case_sign_flip,l4_minus_l8_sae_minus_raw,,pair,,-0.285082857030336,0.1361863813618638,52,52,13,10000,monte_carlo,42,"{""bank"":0.672144261856557,""bark"":-0.517759222209916,""bat"":-0.5211606028847555,""club"":0.04663114649679634,""crane"":-0.09736808312636769,""date"":-1.125134930812417,""jam"":0.23305874019873318,""match"":-0.2444534764719818,""mole"":-0.8618069791547661,""pitcher"":0.07379829738569721,""seal"":-0.24282856059508318,""spring"":-1.1632770236684866,""watch"":0.04207929159162227}","{""bank"":-0.36485178360424375,""bark"":-0.2656931599320377,""bat"":-0.26540971154246773,""club"":-0.3127256906575971,""crane"":-0.3007257548556667,""date"":-0.21507851754849594,""jam"":-0.32826132346609177,""match"":-0.2884686387435322,""mole"":-0.23702251351996684,""pitcher"":-0.3149896198983388,""seal"":-0.2886040483999404,""spring"":-0.21190000981049015,""watch"":-0.3123463694154992}",-0.36485178360424375,-0.21190000981049015,13,13
target_sign_flip,l4_minus_l8_sae_minus_raw,,target,,-0.28508285703033603,0.08203125,13,52,13,8192,exact,42,"{""bank"":0.672144261856557,""bark"":-0.517759222209916,""bat"":-0.5211606028847555,""club"":0.04663114649679634,""crane"":-0.09736808312636769,""date"":-1.125134930812417,""jam"":0.23305874019873318,""match"":-0.2444534764719818,""mole"":-0.8618069791547661,""pitcher"":0.07379829738569721,""seal"":-0.24282856059508318,""spring"":-1.1632770236684866,""watch"":0.04207929159162227}","{""bank"":-0.36485178360424375,""bark"":-0.2656931599320377,""bat"":-0.26540971154246773,""club"":-0.3127256906575971,""crane"":-0.3007257548556667,""date"":-0.21507851754849594,""jam"":-0.32826132346609177,""match"":-0.2884686387435322,""mole"":-0.23702251351996684,""pitcher"":-0.3149896198983388,""seal"":-0.2886040483999404,""spring"":-0.21190000981049015,""watch"":-0.3123463694154992}",-0.36485178360424375,-0.21190000981049015,13,13
leave_one_target_out,l4_minus_l8_sae_minus_raw,,target,bank,-0.36485178360424375,0.02294921875,12,48,12,4096,exact,42,"{""bank"":0.672144261856557,""bark"":-0.517759222209916,""bat"":-0.5211606028847555,""club"":0.04663114649679634,""crane"":-0.09736808312636769,""date"":-1.125134930812417,""jam"":0.23305874019873318,""match"":-0.2444534764719818,""mole"":-0.8618069791547661,""pitcher"":0.07379829738569721,""seal"":-0.24282856059508318,""spring"":-1.1632770236684866,""watch"":0.04207929159162227}","{""bank"":-0.36485178360424375,""bark"":-0.2656931599320377,""bat"":-0.26540971154246773,""club"":-0.3127256906575971,""crane"":-0.3007257548556667,""date"":-0.21507851754849594,""jam"":-0.32826132346609177,""match"":-0.2884686387435322,""mole"":-0.23702251351996684,""pitcher"":-0.3149896198983388,""seal"":-0.2886040483999404,""spring"":-0.21190000981049015,""watch"":-0.3123463694154992}",-0.36485178360424375,-0.21190000981049015,13,13
leave_one_target_out,l4_minus_l8_sae_minus_raw,,target,bark,-0.2656931599320377,0.12744140625,12,48,12,4096,exact,42,"{""bank"":0.672144261856557,""bark"":-0.517759222209916,""bat"":-0.5211606028847555,""club"":0.04663114649679634,""crane"":-0.09736808312636769,""date"":-1.125134930812417,""jam"":0.23305874019873318,""match"":-0.2444534764719818,""mole"":-0.8618069791547661,""pitcher"":0.07379829738569721,""seal"":-0.24282856059508318,""spring"":-1.1632770236684866,""watch"":0.04207929159162227}","{""bank"":-0.36485178360424375,""bark"":-0.2656931599320377,""bat"":-0.26540971154246773,""club"":-0.3127256906575971,""crane"":-0.3007257548556667,""date"":-0.21507851754849594,""jam"":-0.32826132346609177,""match"":-0.2884686387435322,""mole"":-0.23702251351996684,""pitcher"":-0.3149896198983388,""seal"":-0.2886040483999404,""spring"":-0.21190000981049015,""watch"":-0.3123463694154992}",-0.36485178360424375,-0.21190000981049015,13,13
