layer,pair_id,target,effect_A,effect_C,sae_minus_raw,included_in_robustness
8,bat-lex-3,bat,1.8718551731102862,3.6094885532792813,1.7376333801689952,True
8,club-lex-0,club,1.7120194758641825,-0.23692106789823209,-1.9489405437624145,True
8,club-lex-1,club,1.1542302429373201,2.767402067079154,1.6131718241418338,True
8,club-lex-2,club,3.0568728111310306,2.187848581758808,-0.8690242293722226,True
8,club-lex-3,club,0.5829840492295126,-0.062160106883742294,-0.6451441561132549,True
8,crane-lex-0,crane,-0.11738727338083832,-0.6302095339638734,-0.512822260583035,True
8,crane-lex-1,crane,-0.07062641746177256,0.37074558279427405,0.4413720002560466,True
8,crane-lex-2,crane,0.14209613169874924,1.2818682575886093,1.13977212588986,True
8,crane-lex-3,crane,-0.2994406882059253,-0.7245340205238926,-0.4250933323179673,True
8,date-lex-0,date,-0.7419079698937869,0.43732231461503757,1.1792302845088245,True
8,date-lex-1,date,-0.19094352029678685,-0.5362117413612832,-0.3452682210644964,True
8,date-lex-2,date,-0.4414057363300259,0.09740655406650056,0.5388122903965264,True
8,date-lex-3,date,0.21455035497852748,1.068561827303618,0.8540114723250904,True
8,jam-lex-0,jam,0.9143397209193318,1.4382132073795106,0.5238734864601788,True
8,jam-lex-1,jam,0.6740873171187167,1.2856521512930277,0.611564834174311,True
8,jam-lex-2,jam,1.544009358854125,0.5083408706493309,-1.0356684882047942,True
8,jam-lex-3,jam,2.5567316494837518,1.8677659317119248,-0.6889657177718269,True
8,match-lex-0,match,-0.588053326469097,-0.5544185411960787,0.03363478527301833,True
8,match-lex-1,match,1.5157076206868454,-0.03851508057937325,-1.5542227012662186,True
8,match-lex-2,match,-0.08231129767011147,1.696342950558928,1.7786542482290395,True
8,match-lex-3,match,2.206422813484688,2.4128047223887146,0.20638190890402663,True
8,mole-lex-0,mole,0.45537635550367206,0.9795336109339412,0.5241572554302691,True
8,mole-lex-1,mole,-1.5926616577670183,-0.9130953939259552,0.6795662638410631,True
8,mole-lex-2,mole,0.21461639464875626,1.665047724042335,1.4504313293935787,True
8,mole-lex-3,mole,2.625467336937358,2.3090080599508775,-0.31645927698648046,True
8,pitcher-lex-0,pitcher,3.164972341272793,1.8404305092994364,-1.3245418319733564,True
8,pitcher-lex-1,pitcher,-1.2076800941599664,-0.6495415738459402,0.5581385203140261,True
8,pitcher-lex-2,pitcher,3.0223528998538933,2.7641302746065954,-0.2582226252472979,True
8,pitcher-lex-3,pitcher,1.3539689490346531,-0.412205531994823,-1.7661744810294762,True
8,seal-lex-0,seal,0.2297829130300011,-0.5358858394061468,-0.7656687524361478,True
8,seal-lex-1,seal,2.1064477087696334,2.131821167600665,0.02537345883103148,True
8,seal-lex-2,seal,0.4030799869341024,0.318743404336173,-0.08433658259792942,True
8,seal-lex-3,seal,-0.6752496204494287,0.707642398563725,1.3828920190131537,True
8,spring-lex-0,spring,0.23823478123960085,0.5798238528368289,0.34158907159722807,True
8,spring-lex-1,spring,3.843443041152816,4.276312780573731,0.43286973942091445,True
8,spring-lex-2,spring,0.18462427177821494,0.1001166540667291,-0.08450761771148585,True
8,spring-lex-3,spring,0.7660409095878897,0.45317529804464884,-0.3128656115432409,True
8,watch-lex-0,watch,-0.19942543580222072,0.788802265010109,0.9882277008123297,True
8,watch-lex-1,watch,0.6774143682170188,0.6709158009792815,-0.0064985672377373405,True
8,watch-lex-2,watch,1.7671238161431004,1.3542827813540286,-0.41284103478907186,True
8,watch-lex-3,watch,3.4046191016489478,2.5357208616922144,-0.8688982399567333,True
